PERSON_ID,FULL_NAME,ROLE,BUSINESS_NAME,PHONE_NUMBER,EMAIL,REGION,PRODUCT_CATEGORY,CREATED_DATE
1,วรรณาต ไตรบรรพ,Marketing Specialist,บริษัท ตวันเยี่ยมการบัญชี จำกัด จำกัด,04 388 1449,thaaraatwaneyiiym@example.com,เพชรบูรณ์,เนื้อวัว,2024-01-29T10:26:35
2,กิติกานต์ นิลเสนา,Customer Support,บจก.บุนยาภิสนท์จิวเวลรี่ มหาชน,+66 (0) 4221 9364,hnunsukhwrdaaphr@example.net,ยโสธร,ปลา,2023-06-16T06:58:51
3,จรรยพร จันอ้น,Sales Manager,บริษัท บุญบำรุงและบุตร จำกัด มหาชน,0-7482-3048,wikicchdiskaprakaay@example.org,กำแพงเพชร,ปลา,2025-03-10T10:07:04
4,ผดุงพล บุญบำรุง,Marketing Specialist,บริษัท ธูปะวิโรจน์ จำกัด จำกัด,092 887 6921,dwngcchanthr88@example.net,อุทัยธานี,ผัก,2024-03-06T17:17:16
5,อับดุลเลาะห์ ปรีชากุลเศรษฐ์,Customer Support,ห้างหุ้นส่วนจำกัด ดาวอร่าม มหาชน,098-721-1337,cchamras78@example.net,ลำพูน,ผัก,2025-03-07T00:09:18
6,เอนกพงศ์ ทรงโกมล,Distributor,บริษัท นะวะมันดร จำกัด จำกัด,+66 4858 8194,hthrngokml@example.net,ร้อยเอ็ด,ผัก,2024-06-19T11:01:07
7,รวิวาน คำลือ,Customer Support,สมาคมแต้กุล มหาชน,+66 (0) 895 082 735,phakhchnn03@example.org,มุกดาหาร,ผัก,2023-05-09T10:26:50
8,วันชนก แท่นทอง,Customer Support,บริษัท เดชคุ้ม จำกัด มหาชน,036 337575,ecchtthnaakr39@example.org,สิงห์บุรี,เนื้อหมู,2025-02-13T07:28:37
9,ประจิน บินดี,Customer Support,บริษัท หนุนสุขการช่าง จำกัด (มหาชน) มหาชน,+66 (0) 2705 3885,phimphsudaathaawrawrn@example.org,ชัยภูมิ,All,2023-08-19T23:47:45
10,วรินทธิ์ธร ดาวกระจาย,Sales Manager,สมาคมอัตตนาถ มหาชน,+66 (0) 2246 7482,nwlchwiimaasita@example.org,นครศรีธรรมราช,ผัก,2024-04-23T08:10:19
11,ณัฐศักดิ์ ทวนทอง,Regional Manager,บริษัท เดชวาคอนสตรัคชั่น จำกัด จำกัด,022-105672,duriyphanthuraachan@example.org,กทม.,ปลา,2023-10-02T00:26:31
12,ยอดแมน วุฑฒยากร,Sales Manager,ห้างหุ้นส่วนจำกัด ทองสุกเลิศ จำกัด,+66 7988 0767,buyykalp24@example.org,ชัยนาท,เนื้อวัว,2023-05-31T03:30:37
13,ฮามีย๊ะ แนวพญา,Regional Manager,บริษัท คำลือ จำกัด มหาชน,+667 694 1403,mtangkulngaam@example.com,นครนายก,เนื้อวัว,2023-11-09T01:30:22
14,รวิวาน ศรีสัตย์,Distributor,ถะเกิงชศอุตสาหกรรม จำกัด,031901799,dnaakhsuthin@example.net,สมุทรสาคร,เนื้อหมู,2024-09-14T08:23:39
15,ซูรัยดา แท่นทอง,Marketing Specialist,ห้างหุ้นส่วนสามัญ นาคะนครซัพพลาย จำกัด,036618431,nichechtth67@example.net,บึงกาฬ,เนื้อหมู,2023-09-10T12:07:55
16,ภานุพล เนื้อนุ่ม,Sales Manager,บจก.ดาบเงิน จำกัด,0 899 789 402,mhiraysaalii@example.org,สมุทรสงคราม,สินค้าเกษตรอื่นๆ,2024-01-21T02:41:54
17,อนุบาล ดัตพันธุ์,Marketing Specialist,บริษัท ภูภักดี จำกัด มหาชน,028033134,kitiyaathrnphiiraephykul@example.net,สุพรรณบุรี,ปลา,2023-05-02T12:57:00
18,พีรภัทร์ ตรีครุธพันธุ์,Customer Support,บริษัท ทรัพย์สาร จำกัด มหาชน,023 511593,qdaabengin@example.com,ลำปาง,ปลา,2024-05-15T20:47:21
19,กรพนธ์ ทองประดิฐ,Marketing Specialist,มูลนิธิถะเกิงชศ จำกัด,+66 926 259 542,srrephchykhnaanuraks@example.com,ยโสธร,เนื้อวัว,2024-09-10T21:41:05
20,ศุภนุนาย ยาปะโลหิต,Sales Manager,ห้างหุ้นส่วนจำกัด ถนัดภาษาเอ็นจิเนียริ่ง มหาชน,+66 963 639 973,udmlaksn14@example.com,พังงา,สินค้าเกษตรอื่นๆ,2023-04-22T13:12:36
21,สัญชาน ดวงทับทิม,Sales Manager,บมจ.เณรานุสนธิ์ จำกัด,074 704217,athnmmnusy@example.com,สมุทรสงคราม,ผัก,2024-06-27T14:20:06
22,นารดา มิ่งขวัญ,Sales Manager,บริษัท ดุษฎีวนิชการช่าง จำกัด มหาชน,096 799 9131,dbuyyaaaily@example.com,อุตรดิตถ์,All,2024-10-24T05:40:13
23,เฉลิมรัตน์ นิยมธรรม,Marketing Specialist,บริษัท ชุมวระ จำกัด (มหาชน) จำกัด,+66 (0) 2770 6620,mnaakhankhr@example.com,กาญจนบุรี,เนื้อหมู,2023-09-11T21:39:47
24,หรรษา นับเนื่องนอ,Distributor,วาทาเฟอร์นิเจอร์ มหาชน,+66 (0) 669 141 214,wichaa68@example.net,กระบี่,ผัก,2025-02-01T20:39:32
25,พีรภัทร์ ดาบเงิน,Sales Manager,หจก.นิยมสำหรวจพืชผล จำกัด,0 861 551 755,cthnadhatthkrrm@example.org,บุรีรัมย์,ปลา,2023-08-23T22:18:39
26,เกษรา ตรีครุธพันธุ์,Distributor,หจก.แถมธน มหาชน,0-7941-8797,enuuengnnthniwathn@example.com,สุพรรณบุรี,All,2024-01-29T08:41:19
27,โอภาส เลิศกิ่ง,Distributor,บริษัท ไทไชโย จำกัด (มหาชน) จำกัด,+66 (0) 5081 6460,pnaakhsuthin@example.com,ศรีสะเกษ,เนื้อไก่,2024-05-19T03:41:34
28,มะลีวัลย์ นพตระกูล,Marketing Specialist,นวลเพ็งและถนอมมนุษย์ มหาชน,089 145 0451,phimphpraphaanaakknk@example.net,เพชรบุรี,ปลา,2024-03-05T13:56:20
29,ศิรณัฐ ธนูปกรณ์,Sales Manager,บริษัท ถะเกิงชศ จำกัด มหาชน,081 471 4007,hthnadhatthkrrm@example.com,เลย,เนื้อหมู,2024-04-25T03:15:44
30,พาสุข แถมธน,Sales Manager,ยาปะโลหิตอินเตอร์เนชั่นแนล มหาชน,0-2253-6675,butdaalaksmii@example.net,อ่างทอง,เนื้อวัว,2025-02-14T13:42:54
31,ธัชญา สุวรรณหงษ์,Marketing Specialist,บจก.ไทไชโย จำกัด,+66 5775 5742,thungenginnphnt@example.com,กาฬสินธุ์,เนื้อวัว,2024-01-12T16:54:18
32,มูฮัมหมัดอิมรอน ตันเผ่า,Regional Manager,หจก.ศิวะวรเวท จำกัด,023-322849,eruuengekiiyrti12@example.org,นครนายก,สินค้าเกษตรอื่นๆ,2023-04-14T12:49:05
33,พรชีวิน นครเทพ,Sales Manager,บจก.ธรรมทินนา มหาชน,+66 (0) 4667 0857,vethiiyraayan@example.net,มุกดาหาร,เนื้อไก่,2024-01-16T11:23:25
34,อุษณีย์ ถนัดอักษร,Regional Manager,บริษัท ดาบเพ็ชร์ จำกัด (มหาชน) มหาชน,035-968068,thimaaphrnnaathaedcha@example.net,ตาก,ผัก,2024-09-09T04:30:28
35,นิภา นพตระกูล,Customer Support,บจก.คำลือ มหาชน,049-471244,wsitaanitisaakhaa@example.net,แม่ฮ่องสอน,ผัก,2025-03-09T13:21:22
36,ประยุทธ์ นักสำหรวจ,Regional Manager,บริษัท ธรรมนิยม จำกัด มหาชน,03 416 3930,chlngchay40@example.org,นราธิวาส,All,2023-08-06T06:23:12
37,พิมพ์ประภา ไทยแท้,Sales Manager,บริษัท ธรรมทินนาแลบ จำกัด จำกัด,+66 698 621 648,abutdaa@example.net,นครนายก,เนื้อไก่,2024-12-31T05:38:58
38,ศศิรินทร์ บุญบำรุง,Sales Manager,บมจ.ดาวอร่ามภาพยนตร์ มหาชน,0-3978-4293,thayykayyaa62@example.org,สุพรรณบุรี,ผัก,2024-08-19T19:13:52
39,จำรัส ธาราธร,Marketing Specialist,หจก.ธรรมฤดีโอสถ มหาชน,05 626 8226,ephyyuphaatirakhmn@example.net,อำนาจเจริญ,เนื้อไก่,2023-05-05T01:46:22
40,นพวรรณ ไสยกิจ,Sales Manager,บริษัท ทวนไชย์ จำกัด จำกัด,+66 (0) 5160 8396,sangkhkrdsraaycchitt@example.net,พะเยา,สินค้าเกษตรอื่นๆ,2024-01-16T07:00:15
41,ฐิติยาพร ชุมวระ,Distributor,สมาคมบุตดา จำกัด,0-3084-0606,pnrwithyochtikul@example.org,ภูเก็ต,ผัก,2024-02-16T02:58:26
42,วัลลภ เตชะกำพุ,Sales Manager,บริษัท ถนัดการเขียนกรุ๊ป จำกัด (มหาชน) จำกัด,036561754,kumaarbuycchuthaaratn@example.org,ตราด,All,2024-02-07T18:59:14
43,บุญเอก ตั้งเผ่า,Customer Support,หจก.ราชมณี จำกัด,0 803 426 951,thiirisraadaabengin@example.net,นครสวรรค์,เนื้อไก่,2024-02-06T23:40:54
44,ศศิยา น้ำทิพย์,Sales Manager,ยะผาและทรัพย์สาร จำกัด,0 865 365 316,aaithniym@example.org,บุรีรัมย์,สินค้าเกษตรอื่นๆ,2023-06-03T23:05:26
45,เลิศเดช เนื่องนนท์,Distributor,สมาคมบัวเผื่อน จำกัด,045-557926,kwiichatth95@example.org,พระนครศรีอยุธยา,All,2023-07-12T11:51:48
46,จักรีรัตน์ ตัณฑนุช,Distributor,ห้างหุ้นส่วนสามัญ ทองเนื้อดี มหาชน,055-815213,naatkhaayiipiywdii@example.com,ตรัง,ผัก,2023-11-20T06:55:40
47,พชรภรณ์ ไทยแท้,Customer Support,ธูปหอมบรรจุภัณฑ์ มหาชน,+66 7867 5099,hthrrmniym@example.net,เชียงใหม่,สินค้าเกษตรอื่นๆ,2025-01-25T20:07:27
48,มูฮำมัด ตวันเยี่ยม,Regional Manager,จันอ้นและนาถะพินธุ มหาชน,+66 611 163 607,nirutt49@example.org,นนทบุรี,เนื้อวัว,2023-11-14T19:08:02
49,กิติชัย อุลหัสสา,Sales Manager,ธนาคารเลขะพันธุ์ จำกัด จำกัด,+66 5895 0336,nitisaakhaasuthkr@example.net,ร้อยเอ็ด,เนื้อไก่,2024-07-24T11:25:49
50,กิติชัย พานเกล้า,Distributor,ห้างหุ้นส่วนสามัญ มิ่งขวัญเอเยนซี มหาชน,+66 (0) 4705 3164,haanaafiicchanthaa@example.org,บุรีรัมย์,เนื้อวัว,2023-10-19T09:42:44
51,ภารวี ตันตราจิณ,Customer Support,บริษัท ธัญาโภชน์ จำกัด จำกัด,+66 959 953 579,wrinththithr49@example.com,ลำปาง,All,2024-05-20T08:49:12
52,คำมั่น สาระพันธ์,Distributor,ห้างหุ้นส่วนสามัญ นามขำ มหาชน,07 391 5342,ephthaay01@example.com,เพชรบูรณ์,เนื้อไก่,2023-10-09T16:32:36
53,วรรณรัตน์ ดำริห์ชอบ,Sales Manager,ห้างหุ้นส่วนจำกัด แน่นดุจป้อม จำกัด,0 7142 0439,eksraa41@example.org,อุบลราชธานี,เนื้อไก่,2024-03-23T09:43:31
54,วิทูลย์ ผลบุญ,Regional Manager,บริษัท อุ่นอกอิมปอร์ตเอ็กซปอร์ต จำกัด จำกัด,098 999 2838,thanyukhsmhmaay@example.net,ประจวบคีรีขันธ์,All,2023-06-08T14:44:02
55,คมกริบ ทองเนื้อดี,Sales Manager,ดำริห์ชอบคอมพิวเตอร์ มหาชน,+66 5316 2725,ynphkhechnthr@example.com,ตรัง,เนื้อไก่,2025-01-30T03:39:21
56,พัชรพร ภูภักดี,Customer Support,บริษัท ศรีตะวัน จำกัด (มหาชน) จำกัด,030493588,phkaathiphythrngokml@example.net,กทม.,เนื้อหมู,2023-09-14T13:10:00
57,ศศินา ถนอมมนุษย์,Regional Manager,หจก.นาฏคายี มหาชน,03 005 9616,phaarwii93@example.org,กรุงเทพ,เนื้อวัว,2023-05-02T04:50:14
58,พุทธิพงษ์ เมืองสุข,Customer Support,ห้างหุ้นส่วนจำกัด ตันเผ่า มหาชน,+66 (0) 7054 5091,tduriyphanthu@example.net,อ่างทอง,เนื้อหมู,2024-07-28T22:43:54
59,ปฐวีกานต์ ขุนดำ,Customer Support,บริษัท ร่มธิติรัตน์เฟอนิชชิ่ง จำกัด มหาชน,04 548 2019,mthngsukelis@example.net,ระยอง,All,2024-05-29T05:17:57
60,เฉลิมพล ติณรัตน์,Customer Support,บจก.ติระคมน์ มหาชน,081 999 4145,ephthaayhnunsukh@example.com,ชัยภูมิ,เนื้อวัว,2024-08-21T21:11:53
61,กุลดิลก นาคะนคร,Sales Manager,บริษัท ถาวรายุศม์เอ็นจิเนียริ่ง จำกัด จำกัด,+663 750 3802,nanthwrrn71@example.org,เชียงราย,ปลา,2024-01-16T03:17:49
62,นพรัตน์ ฉายแสง,Sales Manager,นฤภัย-แถมธน มหาชน,0-3945-5256,suphaaphr19@example.net,มหาสารคาม,สินค้าเกษตรอื่นๆ,2024-07-27T03:48:59
63,ปิยนุช ทองลาภ,Distributor,บริษัท แถมธน จำกัด จำกัด,058-522197,cbuyyaaphirmy@example.org,กำแพงเพชร,All,2023-12-14T15:22:20
64,พุทธิพงษ์ ทัศนสุทธิ,Regional Manager,ห้างหุ้นส่วนจำกัด เขียวอ่อนอินเตอร์เนชั่นแนล มหาชน,+66 4890 1287,rbunyasaphth@example.com,ภูเก็ต,All,2024-03-23T17:05:05
65,ปิยวัจน์ เธียรายัน,Sales Manager,ห้างหุ้นส่วนจำกัด ทวีเดช จำกัด,0 851 330 137,chatrpriiyaanaakhankhr@example.org,ภูเก็ต,All,2025-01-12T05:51:24
66,นาวีตา ตันยา,Distributor,นาถะพินธุสโตร์ มหาชน,046140003,mniiyaaetmiyaedch@example.net,ลำพูน,All,2025-02-03T07:35:53
67,วัลยา นาคพันธุ์,Regional Manager,หจก.ตันยาแลบ จำกัด,02 395 0894,naamkhamwrrnchnachay@example.net,หนองคาย,สินค้าเกษตรอื่นๆ,2025-02-11T22:06:57
68,ชรินทร์ทิพย์ นิลเสนา,Marketing Specialist,บริษัท ดาตูก่อสร้าง จำกัด มหาชน,04 830 0134,sthngaeth@example.net,ลำปาง,เนื้อหมู,2023-07-23T07:45:44
69,พรรณปพร ถนัดการเขียน,Sales Manager,บมจ.เตชะกำพุ จำกัด,050906699,gwuththyaakr@example.com,นครปฐม,เนื้อวัว,2025-01-18T05:59:34
70,กิติยาธรณ์ นากกนก,Sales Manager,ห้างหุ้นส่วนจำกัด ถนัดเดินข่าวเทรดดิ้ง จำกัด,040 832985,phlphuuminilwiml@example.org,นครพนม,ปลา,2023-09-09T23:11:31
71,ฮานาฟี นพตระกูล,Distributor,บจก.ธูปะวิโรจน์เคมิคอล จำกัด,+66 609 627 961,shasmnii57@example.net,อุบลราชธานี,ปลา,2023-09-07T10:50:36
72,อลิษา ประจันตะเสน,Marketing Specialist,บริษัท ดาบเงิน จำกัด (มหาชน) มหาชน,+66 7358 7936,praphathrsrnnilsuwrrn@example.net,สุโขทัย,เนื้อหมู,2023-04-27T12:11:00
73,ใกล้รุ่ง ร่มธิติรัตน์,Regional Manager,ห้างหุ้นส่วนจำกัด ธีวร มหาชน,0-3428-5246,nsriithnaewthy@example.net,สุรินทร์,All,2024-09-03T08:36:00
74,แกมแพร แน่นดุจป้อม,Sales Manager,บริษัท ศรีวงค์มอเตอร์ จำกัด มหาชน,0-4833-2933,ephyphrrsaa85@example.org,แพร่,ผัก,2025-03-11T19:35:35
75,จำรัส สงประเสริฐ,Marketing Specialist,หจก.บุนยะตีรณะอุตสาหกรรม จำกัด,03 853 3542,ydaemn28@example.net,เลย,ปลา,2024-08-20T05:06:40
76,มูฮำมัด ทองประดิฐ,Distributor,ธนาคารทันยุคเฟอร์นิเจอร์ จำกัด มหาชน,0-7046-1933,tthumabutr@example.net,มุกดาหาร,ผัก,2025-01-30T16:03:27
