Customer_ID,Customer_Name,Customer_Email,Customer_Phone,Customer_Address,Product_Interest,Partner_Status,Owner_Connection_Interest
29771709,ยุภา เนตร์มณี,wilaasiniibuythiwaa@example.net,070-411891,83/8 ถนนด้วงโสน กระบี่ 17740,สินเชื่อบ้าน,Prospect,True
24701161,ภัทราวุธ มิ่งขวัญ,vthnadaawuth@example.com,+66 (0) 828 602 597,77/2 ถนนดุริยพันธุ์ ตำบลป่าโนนสูง อำเภอเวียงชัย เชียงราย 63980,สินเชื่อส่วนบุคคล,Inactive,True
90105639,รภัสพงษ์ ธีวร,zthmangrakssatw@example.net,+66 3017 9784,1/1 ถนนทองสีไพล อำเภอหนองบัวแดง หนองคาย 85480,สินเชื่อธุรกิจ,Active,True
65781381,กฤตพร ราชมณี,otrakuulbuy@example.net,+66 (0) 7363 9215,033 ถนนดาบเงิน ต.บัวบานเล็ก อ.นาแก มุกดาหาร,บัตรเครดิต,Prospect,True
56610530,หลี ถนอมพล,nawamandrrththichkr@example.net,0 7719 4811,73 หมู่ 37 ถ.ถนัดรักษา ภาษีเจริญ สิงห์บุรี 56400,บัตรเครดิต,Inactive,False
87408034,ชิดชนก ธาราธร,siththaysangkhkrd@example.net,0-4185-0763,78/03 ถนนทองปากน้ำ อำเภอบ้านแพง สิงห์บุรี 54090,สินเชื่อบ้าน,Inactive,True
5089361,อัญธิกา พรสีมา,phaadiilaphuuphakdii@example.org,+66 (0) 662 399 605,174/43 ถ.ถุงเงิน ทุ่งต่อ จ.ชลบุรี 76040,สินเชื่อบ้าน,Inactive,True
97714195,ฮามีย๊ะ ดาตู,etchakamphuabdulelaaah@example.org,+665 316 8019,1/3 ถนนตรีครุธพันธุ์ ต.หนองช้างแล่น จ.หนองบัวลำภู 61640,สินเชื่อรถยนต์,Active,True
65470959,สุกฤษตา บัวเผื่อน,faariniipracchantaesn@example.org,046-942480,2 ถ.ถมปัด ต.ปากพลี อ.วังยาง ลำปาง 20650,บัตรเครดิต,Inactive,True
62792969,ภัคชนน นักรบ,ventrmnii@example.net,096 962 2125,97 หมู่ 98 ถ.บุตราช ตำบลนาวง อำเภอนาหว้า พังงา 74920,สินเชื่อบ้าน,Inactive,True
83138384,สราญจิตต์ บุญญาไลย์,waarmuuhamhmad55@example.net,+664 014 9982,643/14 ถนนถนัดภาษา ต.บ่อบางปะกอก จ.ราชบุรี 23350,ประกัน,Active,True
85902863,ฉลองชัย นาถะพินธุ,ctrakuulbuy@example.org,0 822 478 508,59/91 ถ.นุตตาร ต.พะโต๊ะ อ.เรณูนคร จ.พิจิตร 62150,สินเชื่อธุรกิจ,Inactive,True
93669079,ภัคชัญญา ธรรมนิยม,rththichkrnaakknk@example.com,0 4097 8161,33/77 ถนนทรัพย์สาร ต.บางตลาด อ.เวียงชัย จ.มุกดาหาร,สินเชื่อธุรกิจ,Active,True
51240740,ราชันทร์ นิลเสนา,phuthth96@example.com,+66 (0) 5741 3611,3 ถ.ทีฆะ ต.เขาปูน จ.ศรีสะเกษ 49440,สินเชื่อรถยนต์,Prospect,False
38353423,นพวรรณ ปรีชากุลเศรษฐ์,thaantawantangkulngaam@example.org,049-845452,941/58 ถ.นาฏคายี อ.ศรีวิไล จ.มหาสารคาม 50010,สินเชื่อส่วนบุคคล,Prospect,True
